description,phoneName,price
Skmei Sport Digital Chronograph Dual Display Alarm Watches,Skmei,"₦ 4,050"
"Samsung Galaxy A12 - 6.5"" 48MP Camera, 4/64GB Memory, 5000maH Battery, Fingerprint, 4G LTE - BLACK",Samsung,"₦ 70,990"
"DS Stone Iced Men""s Wristwatch Witch Hand Chain - SIlver",DS,"₦ 7,350"
"Tecno POP 3 (BB2) 5.7"" FW+ Screen16GB ROM + 1GB RAM,Android 8.1 Oreo, 8MP + 5MP Camera, 3500mAh, Fingerprint -Sandstone Black",Tecno,"₦ 30,500"
"Orlando Men's Watch, Stainless Steel Male Watches + LED Sports Watch",Orlando,"₦ 2,400"
"Itel A33 5.0"" Screen, Android 8.1, 16GB ROM + 1GB RAM, 2PCS 2200mAh Battery, Fingerprint, 5+2MP Camera 3G - Red + FREE CASE",Itel,"₦ 21,890"
Fngeen Blue Face Business Calendar Waterproof Men's Quartz Watch,Fngeen,"₦ 3,790"
"Tecno F1-5"" Big Screen -8gb Rom + 1gb Ram - 5mp + 2mp Camera - Android 8.1 Oreo - 2000mah Battery - Elegant Black",Tecno,"₦ 22,700"
Kanima Rhinestone Women Dress Wristwatch - Gold,Kanima,"₦ 2,500"
"Itel S16 6.5"" HD FullScreen, 16GB ROM + 1GB RAM, Android 10, 4000mAh, 8MP Triple Rear Camera, Face ID & Fingerprint - Blue",Itel,"₦ 33,990"
Led Digital Panel Design Wristwatch- Unisex,Led,"₦ 1,850"
"Infinix Hot 9 (X655C) 6.6"" HD+, 3GB RAM + 64GB ROM, Android 10, 16MP AI Quad Camera, 5000mAh, 4G, Fingerprint + Face ID - Cyan",Infinix,"₦ 59,990"
Women Gold Plated Wristwatch + Bracelet + Earring,Women,"₦ 4,500"
"Tecno Spark 4 (KC8) 6.52"" HD+ 2GB RAM + 32GB ROM, 13MP Triple AI Camera, Android 9, 4G, 4000mAh, Fingerprint & Face ID - Blue",Tecno,"₦ 47,490"
"Orlando Men's Wrist Watch, Luxury Stainless Quartz Male Watches",Orlando,"₦ 2,350"
"Itel A56 Pro 5.99"" Screen, Android 9, 32GB ROM + 2GB RAM, 8MP+5MP Camera, 4000mAh, Fingerprint & Face ID - Blue + Free Case",Itel,"₦ 33,750"
Geneva 1 Pair Of Couple Wrist Watches LED Backlight Sport,Geneva,"₦ 2,600"
"Itel P36 6.5"" HD+ Screen, 2GB RAM + 32GB ROM, Android 9 Pie, 5000mAh Battery, 8MP + 8MP Camera, Fingerprint + Face ID - Blue",Itel,"₦ 39,490"
Women Studded Watch With Love Bracelet Band- Gold,Women,"₦ 1,900"
LOGY 6.6 Inch HD Water Drop Screen Face Recognition  Smart Phone- Dark Green,LOGY,"₦ 31,300"
Curren Leather Strap Cool Fashion Watch,Curren,"₦ 5,995"
"Itel P36 6.5"" HD+ Screen, 1GB RAM + 16GB ROM, Android 9 Pie, 5000mAh Battery, 8MP + 8MP Camera, Fingerprint + Face ID - Blue",Itel,"₦ 35,990"
